City (Where),Province
Saint-Hyacinthe,Quebec
Saint-Jacques,New Brunswick
Saint-Jean-Sur-Richelieu,Quebec
Saint-Jerome,Quebec
Saint-Lambert,Quebec
Saint-Laurent,Quebec
Saint-Lazare,Quebec
Saint-Leonard,Quebec
Saint-Nicephore,Quebec
Saint-Nicolas,Quebec
Saint-Paul,New Brunswick
Saint-Quentin,New Brunswick
Saint-Raymond,Quebec
Sainte-Adele,Quebec
Sainte-Anne-de-Madawaska,New Brunswick
Sainte-Foy,Quebec
Sainte-Julie,Quebec
Sainte-Marie-de-Kent,New Brunswick
Sainte-Therese,Quebec
Salaberry-de-Valleyfield,Quebec
Salisbury,New Brunswick
Salle Albert Rousseau,Quebec
Salmon Arm,British Columbia
Salt Spring Island,British Columbia
Sambro,Nova Scotia
Sandy Lake,Manitoba
Sanikiluaq,Nunavut
Sarnia,Ontario
Saskatoon,Saskatchewan
Saskatoon Yxe Airport,Saskatchewan
Sasktel Centre,Saskatchewan
Sault Ste Marie,Ontario
Scarborough,Ontario
Scotchtown,Nova Scotia
Scotia Square,Nova Scotia
Scotiabank Centre,Nova Scotia
Seabright,Nova Scotia
Sechelt,British Columbia
Seldom Come By,Newfoundland and Labrador
Selkirk,Manitoba
Sept-Iles,Quebec
Shad Bay,Nova Scotia
Shawinigan,Quebec
Shawinigan-Sud,Quebec
Shediac,New Brunswick
Shediac Bridge,New Brunswick
Shediac Cape,New Brunswick
Shellbrook,Saskatchewan
Sherbrooke,Quebec
Sherwood Park,Alberta
Shilo,Manitoba
Shippagan,New Brunswick
Sidney,British Columbia
Sifton,Manitoba
Signal Hill,Newfoundland and Labrador
Simcoe,Ontario
Slave Lake,Alberta
Slemon Park,Prince Edward Island
Smithers,British Columbia
Smiths Falls,Ontario
Sonningdale,Saskatchewan
Sooke,British Columbia
Sorel-Tracy,Quebec
Souris,Prince Edward Island
South Baptiste,Alberta
South Bar,Nova Scotia
Southey,Saskatchewan
Sparwood,British Columbia
Speers,Saskatchewan
Spiritwood,Saskatchewan
Spring Lake,Alberta
Springbrook,Alberta
Springdale,Newfoundland and Labrador
Springfield,Manitoba
Spruce Grove,Alberta
Squamish,British Columbia
St Adolphe,Manitoba
St Albans,Newfoundland and Labrador
St Albert,Alberta
St Andrews,Manitoba
St Andrews,New Brunswick
St Anthony,Newfoundland and Labrador
St Catharines,Ontario
St Clements,Manitoba
St Francois Xavier,Manitoba
St George,New Brunswick
St Leonard,New Brunswick
St Malo,Manitoba
St Paul,Alberta
St Stephen,New Brunswick
St Thomas,Ontario
St Vincents,Newfoundland and Labrador
St-Louis,Prince Edward Island
St-Peters Bay,Prince Edward Island
St. John's,Newfoundland and Labrador
St. John's International Airport,Newfoundland and Labrador
St. Paul's Hospital,Saskatchewan
Ste Anne,Manitoba
Ste Rose du Lac,Manitoba
Steinbach,Manitoba
Stephenville,Newfoundland and Labrador
Stettler,Alberta
Stillwater Lake,Nova Scotia
Stittsville,Ontario
Stonewall,Manitoba
Stoney Creek,Ontario
Stony Plain,Alberta
Stouffville,Ontario
Stratford,Ontario
Stratford,Prince Edward Island
Strathmore,Alberta
Strathroy,Ontario
Strawberry Hill,British Columbia
Strome,Alberta
Sturgeon Falls,Ontario
Sudbury,Ontario
Summerside,Prince Edward Island
Sundre,Alberta
Sunridge Mall,Alberta
Surrey,British Columbia
Sussex,New Brunswick
Sussex Corner,New Brunswick
Swan River,Manitoba
Swift Current,Saskatchewan
Sydney,Nova Scotia
Sydney Forks,Nova Scotia
Sydney Mines,Nova Scotia
Sylvan Lake,Alberta
T,Alberta
T,British Columbia
T,Manitoba
T,New Brunswick
T,Newfoundland and Labrador
T,Northwest Territories
T,Nova Scotia
T,Nunavut
T,Ontario
T,Prince Edward Island
T,Quebec
T,Saskatchewan
T,Yukon
TCU Place,Saskatchewan
Taber,Alberta
Tagish,Yukon
Tantallon,Nova Scotia
Td Square Core shopping centre,Alberta
Telkwa,British Columbia
Terence Bay,Nova Scotia
Terrace,British Columbia
Terrebonne,Quebec
Teslin,Yukon
Teulon,Manitoba
The Pas,Manitoba
The Rooms,Newfoundland and Labrador
Thetford Mines,Quebec
Thompson,Manitoba
Thornhill,British Columbia
Thornhill,Ontario
Thorold,Ontario
Three Hills,Alberta
Thunder Bay,Ontario
Tignish,Prince Edward Island
Tillsonburg,Ontario
Timberlea,Nova Scotia
Timmins,Ontario
Tinkertown,Manitoba
Tisdale,Saskatchewan
Tofield,Alberta
Torbay,Newfoundland and Labrador
Toronto,Ontario
Toronto Zoo,Ontario
Tracadie-Sheila,New Brunswick
Trail,British Columbia
Trenton,Ontario
Trepassey,Newfoundland and Labrador
Trinity Tb,Newfoundland and Labrador
Trois-Rivieres,Quebec
Trois-Rivieres-Ouest,Quebec
Trout Lake,Northwest Territories
Troy,Nova Scotia
Truro,Nova Scotia
Tsiigehtchic,Northwest Territories
Tuktoyaktuk,Northwest Territories
Tulita,Northwest Territories
Twillingate,Newfoundland and Labrador
Tyne Valley,Prince Edward Island
U,Alberta
U,British Columbia
U,Manitoba
U,New Brunswick
U,Newfoundland and Labrador
U,Nova Scotia
U,Ontario
U,Prince Edward Island
U,Quebec
U,Saskatchewan
University Of Guelph,Ontario
University Of Manitoba,Manitoba
University Of Montreal,Quebec
University Of Saskatchewan,Saskatchewan
University Of Victoria,British Columbia
Upper Sackville,Nova Scotia
Upper Tantallon,Nova Scotia
V,Alberta
V,British Columbia
V,Manitoba
V,New Brunswick
V,Newfoundland and Labrador
V,Nova Scotia
V,Ontario
V,Prince Edward Island
V,Quebec
V,Saskatchewan
Val Caron,Ontario
Val-Belair,Quebec
Val-D'Or,Quebec
Val-Des-Monts,Quebec
Vancouver,British Columbia
Vancouver Aquarium Marine Science Centre,British Columbia
Varennes,Quebec
Vaudreuil-Dorion,Quebec
Vaughan Mills,Ontario
Vegreville,Alberta
Verdun,Quebec
Vermilion,Alberta
Vernon,British Columbia
Vernon Bridge,Prince Edward Island
Victoria,British Columbia
Victoria,Prince Edward Island
Victoriaville,Quebec
Viking,Alberta
W,Alberta
W,British Columbia
W,Manitoba
W,New Brunswick
W,Newfoundland and Labrador
W,Northwest Territories
W,Nova Scotia
W,Nunavut
W,Ontario
W,Prince Edward Island
W,Quebec
W,Saskatchewan
W,Yukon
Wabowden,Manitoba
Wainwright,Alberta
Wakaw,Saskatchewan
Wallaceburg,Ontario
Warman,Saskatchewan
Waterloo,Ontario
Watrous,Saskatchewan
Watson Lake,Yukon
Wekweti,Northwest Territories
Welland,Ontario
Wellington,Nova Scotia
Wellington Station,Prince Edward Island
West Porters Lake,Nova Scotia
West St Modeste,Newfoundland and Labrador
West St Paul,Manitoba
West Vancouver,British Columbia
Westbank,British Columbia
Westlock,Alberta
Westphal,Nova Scotia
Westport,Newfoundland and Labrador
Wetaskiwin,Alberta
Weyburn,Saskatchewan
Wha Ti,Northwest Territories
Whispering Hills,Alberta
Whistler,British Columbia
Whitbourne,Newfoundland and Labrador
Whitby,Ontario
White Gull,Alberta
White Rock,British Columbia
Whitecourt,Alberta
Whitehorse,Yukon
Whites Lake,Nova Scotia
Wickham,New Brunswick
Williams Lake,British Columbia
Williamswood,Nova Scotia
Willow Grove,New Brunswick
Wilsons Beach,New Brunswick
Wiltondale,Newfoundland and Labrador
Windsor,Ontario
Windsor Junction,Nova Scotia
Winfield,British Columbia
Winkler,Manitoba
Winnipeg,Manitoba
Winnipeg Art Gallery,Manitoba
Winnipeg International Airport,Manitoba
Winnipegosis,Manitoba
Winsloe,Prince Edward Island
Wolfville,Nova Scotia
Woodbridge,Ontario
Woodstock,New Brunswick
Woodstock,Ontario
Wrigley,Northwest Territories
X,British Columbia
Y,Alberta
Y,British Columbia
Y,Manitoba
Y,New Brunswick
Y,Newfoundland and Labrador
Y,Northwest Territories
Y,Nova Scotia
Y,Ontario
Y,Prince Edward Island
Y,Quebec
Y,Saskatchewan
Y,Yukon
Yarmouth,Nova Scotia
Yellowknife,Northwest Territories
York,Ontario
York,Prince Edward Island
Yorkton,Saskatchewan
Z,Alberta
Z,British Columbia
Z,Manitoba
Z,New Brunswick
Z,Nova Scotia
Z,Ontario
Z,Saskatchewan
iSaute Recreation Center,Quebec
É,British Columbia
É,Newfoundland and Labrador
É,Ontario
É,Quebec
É,Saskatchewan
